collect.....= UnicornPy_2020.05.30.0
device......= UN-2021.05.36
samplerate..= 250.000
channels....= 16
date........= 2022-07-25T14:07:23.241906
filename....= recordeddata_thread
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-113.457,-117.034,-107.467,-110.060,-113.636,-101.388,-107.199,-106.305,-0.011,0.896,-0.425,-0.580,0.336,0.641,73.333,103.000
-113.547,-116.766,-107.288,-110.239,-113.279,-101.656,-107.020,-106.305,-0.010,0.894,-0.426,-0.671,0.427,0.580,73.333,104.000
-113.189,-116.497,-107.199,-110.149,-113.279,-101.209,-107.110,-106.126,-0.011,0.893,-0.426,-0.763,0.488,0.458,73.333,105.000
-113.189,-116.408,-107.378,-110.060,-113.279,-101.388,-107.378,-106.037,-0.011,0.892,-0.426,-0.610,0.458,0.580,73.333,106.000
-113.189,-116.318,-107.199,-109.971,-113.010,-101.209,-107.288,-106.037,-0.010,0.892,-0.424,-0.702,0.519,0.549,73.333,107.000
-113.279,-116.318,-107.199,-109.881,-113.010,-101.119,-106.931,-105.858,-0.011,0.893,-0.426,-0.641,0.458,0.580,73.333,108.000
-113.189,-116.497,-107.110,-109.792,-113.010,-100.851,-106.931,-106.037,-0.012,0.893,-0.427,-0.580,0.488,0.519,73.333,109.000
-113.189,-116.318,-106.841,-109.613,-112.921,-100.940,-106.663,-106.037,-0.010,0.892,-0.427,-0.671,0.549,0.519,73.333,110.000
-113.189,-116.408,-106.931,-109.613,-112.921,-101.209,-106.663,-105.858,-0.012,0.893,-0.427,-0.763,0.519,0.519,73.333,111.000
-113.189,-116.229,-106.752,-109.613,-112.832,-101.119,-106.931,-105.768,-0.011,0.893,-0.425,-0.763,0.458,0.641,73.333,112.000
-113.189,-116.140,-106.573,-109.613,-112.832,-100.762,-106.663,-105.679,-0.010,0.894,-0.426,-0.793,0.519,0.580,73.333,113.000
-113.189,-115.961,-106.752,-109.702,-112.742,-100.762,-106.394,-105.590,-0.012,0.894,-0.424,-0.732,0.488,0.580,73.333,114.000
-113.010,-115.961,-106.752,-109.613,-112.653,-100.851,-106.305,-105.411,-0.012,0.895,-0.428,-0.824,0.458,0.610,73.333,115.000
-112.742,-115.871,-106.752,-109.434,-112.385,-100.672,-106.484,-105.321,-0.012,0.894,-0.429,-0.702,0.519,0.549,73.333,116.000
-112.742,-115.871,-106.752,-109.166,-112.474,-100.493,-106.573,-105.500,-0.010,0.893,-0.428,-0.702,0.488,0.488,73.333,117.000
-112.832,-115.961,-106.573,-109.077,-112.385,-100.583,-106.394,-105.411,-0.009,0.893,-0.423,-0.580,0.458,0.549,73.333,118.000
-112.742,-115.961,-106.573,-109.255,-112.474,-100.493,-106.394,-105.590,-0.010,0.894,-0.426,-0.671,0.458,0.549,73.333,119.000
-112.563,-115.782,-106.484,-109.345,-112.474,-100.583,-106.484,-105.679,-0.011,0.893,-0.427,-0.732,0.458,0.671,73.333,120.000
-112.385,-115.693,-106.394,-109.524,-112.295,-100.583,-106.394,-105.411,-0.010,0.896,-0.429,-0.732,0.458,0.580,73.333,121.000
-112.295,-115.693,-106.394,-109.255,-112.295,-100.404,-106.484,-105.411,-0.012,0.896,-0.426,-0.702,0.488,0.488,73.333,122.000
-112.295,-115.693,-106.126,-109.166,-112.116,-100.493,-106.484,-105.321,-0.011,0.894,-0.428,-0.732,0.427,0.488,73.333,123.000
-112.563,-115.514,-105.858,-109.077,-111.938,-100.493,-106.215,-105.232,-0.012,0.894,-0.423,-0.549,0.366,0.580,73.333,124.000
-112.563,-115.424,-106.126,-109.345,-112.206,-100.404,-106.305,-105.411,-0.010,0.895,-0.426,-0.610,0.427,0.549,73.333,125.000
-112.385,-115.335,-106.037,-109.166,-112.295,-100.493,-106.305,-105.411,-0.010,0.892,-0.425,-0.671,0.366,0.549,73.333,126.000
-112.385,-115.514,-106.305,-109.166,-112.206,-100.404,-106.126,-105.232,-0.008,0.891,-0.426,-0.702,0.336,0.580,73.333,127.000
-112.295,-115.514,-106.126,-109.166,-112.027,-100.315,-106.215,-105.143,-0.010,0.891,-0.427,-0.549,0.397,0.549,73.333,128.000
-112.116,-115.514,-105.947,-109.255,-111.848,-100.225,-106.037,-105.143,-0.010,0.891,-0.426,-0.763,0.366,0.580,73.333,129.000
-112.116,-115.246,-106.037,-109.166,-111.938,-100.225,-105.947,-105.321,-0.010,0.893,-0.424,-0.671,0.366,0.580,73.333,130.000
-112.027,-115.424,-106.126,-108.987,-112.116,-100.225,-106.126,-105.053,-0.010,0.894,-0.428,-0.793,0.397,0.488,73.333,131.000
-112.116,-115.424,-106.305,-109.077,-111.848,-100.225,-106.037,-104.874,-0.010,0.896,-0.427,-0.671,0.519,0.610,73.333,132.000
-112.116,-115.514,-106.305,-108.898,-111.938,-100.225,-105.947,-105.143,-0.009,0.895,-0.428,-0.732,0.336,0.458,73.333,133.000
-111.938,-115.424,-106.126,-108.808,-111.848,-100.046,-106.037,-104.964,-0.010,0.894,-0.427,-0.763,0.366,0.458,73.333,134.000
-111.938,-115.424,-105.947,-109.166,-112.027,-100.046,-105.947,-105.143,-0.010,0.894,-0.425,-0.763,0.366,0.610,73.333,135.000
-112.116,-115.246,-106.037,-109.166,-111.938,-100.046,-105.947,-105.143,-0.012,0.895,-0.421,-0.610,0.458,0.610,73.333,136.000
-112.206,-115.156,-105.858,-108.808,-111.759,-100.046,-105.858,-104.964,-0.011,0.895,-0.422,-0.641,0.427,0.610,73.333,137.000
-111.938,-115.067,-105.858,-108.987,-111.759,-100.046,-105.858,-105.143,-0.010,0.896,-0.425,-0.763,0.305,0.549,73.333,138.000
-111.848,-115.067,-105.679,-108.898,-111.938,-100.136,-106.037,-104.964,-0.011,0.895,-0.428,-0.702,0.244,0.549,73.333,139.000
-112.027,-115.246,-105.858,-108.540,-111.848,-100.046,-106.037,-104.785,-0.013,0.895,-0.428,-0.671,0.275,0.610,73.333,140.000
-111.938,-115.424,-105.858,-108.808,-111.669,-100.136,-105.947,-104.696,-0.011,0.893,-0.426,-0.702,0.275,0.641,73.333,141.000
-111.938,-115.067,-105.768,-108.808,-111.491,-99.957,-106.037,-104.964,-0.011,0.893,-0.425,-0.610,0.244,0.549,73.333,142.000
-111.938,-114.977,-105.858,-108.719,-111.580,-99.778,-106.126,-104.964,-0.010,0.894,-0.423,-0.641,0.336,0.519,73.333,143.000
-112.116,-114.977,-105.947,-108.629,-111.759,-100.046,-106.037,-104.785,-0.010,0.895,-0.424,-0.641,0.427,0.549,73.333,144.000
-111.938,-114.977,-105.858,-108.540,-111.848,-100.225,-105.679,-104.874,-0.012,0.894,-0.425,-0.671,0.336,0.580,73.333,145.000
